compound,modifier,head,frequency_class,level
Abendmahlsgottesdienst,Abendmahl,Gottesdienst,18.0,2
Abgasgrenzwert,Abgas,Grenzwert,20.0,2
Abgasturbolader,Abgas,Turbolader,21.0,2
Abgasvorschrift,Abgas,Vorschrift,19.0,2
Abwasserbehandlungsanlage,Abwasserbehandlung,Anlage,22.0,2
Abwasserreinigungsanlage,Abwasserreinigung,Anlage,18.0,2
Abwasserzweckverband,Abwasser,Zweckverband,18.0,2
Achtelfinalhinspiel,Achtelfinale,Hinspiel,nan,2
Achtelfinalrückspiel,Achtelfinale,Rückspiel,nan,2
Alleinstellungsmerkmal,Alleinstellung,Merkmal,18.0,2
Allradfahrzeug,Allrad,Fahrzeug,19.0,2
Alltagsgegenstand,Alltag,Gegenstand,17.0,2
Altlastenverdachtsfläche,Altlast,Verdachtsfläche,23.0,2
Altoberbürgermeister,alt,Oberbürgermeister,20.0,2
Altstadtrundgang,Altstadt,Rundgang,19.0,2
Arbeitgeberanteil,Arbeitgeber,Anteil,18.0,2
Arbeitnehmeranteil,Arbeitnehmer,Anteil,20.0,2
Arbeitnehmersparzulage,Arbeitnehmer,Sparzulage,20.0,2
Arbeitnehmerüberlassungsgesetz,Arbeitnehmerüberlassung,Gesetz,21.0,2
Arbeitsbeschaffungsmaßnahme,Arbeitsbeschaffung,Maßnahme,16.0,2
Arbeitskampfmaßnahme,Arbeitskampf,Maßnahme,18.0,2
Arbeitsschutzmaßnahme,Arbeitsschutz,Maßnahme,22.0,2
Arbeitsschutzvorschrift,Arbeitsschutz,Vorschrift,21.0,2
Artenschutzgesetzgebung,Artenschutz,Gesetzgebung,nan,2
Arzneimittelrichtlinie,Arzneimittel,Richtlinie,22.0,2
Arzneimittelrückstand,Arzneimittel,Rückstand,22.0,2
Asylbewerberleistungsgesetz,Asylbewerberleistung,Gesetz,18.0,2
Atomkraftwerksbetreiber,Atomkraftwerk,Betreiber,20.0,2
Atommüllendlager,Atommüll,Endlager,19.0,2
Atomwaffensperrvertrag,Atomwaffe,Sperrvertrag,16.0,2
Aufsichtsratsmitglied,Aufsichtsrat,Mitglied,16.0,2
Auftaktwochenende,Auftakt,Wochenende,20.0,2
Augenoptikerhandwerk,Augenoptiker,Handwerk,nan,2
Augenoptikfachgeschäft,Augenoptik,Fachgeschäft,nan,2
Auslandsreisekrankenversicherung,Auslandsreise,Krankenversicherung,nan,2
Autobahnabschnitt,Autobahn,Abschnitt,18.0,2
Autobahnanschlussstelle,Autobahn,Anschlussstelle,19.0,2
Autobahnbaustelle,Autobahn,Baustelle,19.0,2
Autobahndreieck,Autobahn,Dreieck,18.0,2
Autobahnkilometer,Autobahn,Kilometer,19.0,2
Autobahnparkplatz,Autobahn,Parkplatz,18.0,2
Autobahnrastplatz,Autobahn,Rastplatz,19.0,2
Autobahnraststätte,Autobahn,Raststätte,17.0,2
Autobahntankstelle,Autobahn,Tankstelle,20.0,2
Autobahnteilstück,Autobahn,Teilstück,20.0,2
Außenhandelskauffrau,Außenhandel,Kauffrau,21.0,2
Außenhandelskaufmann,Außenhandel,Kaufmann,19.0,2
Backsteinmauerwerk,Backstein,Mauerwerk,nan,2
Bahnhofsbauwerk,Bahnhof,Bauwerk,nan,2
Bahnhofsbuchhandel,Bahnhof,Buchhandel,22.0,2
Bahnhofsbuchhandlung,Bahnhof,Buchhandlung,20.0,2
Bahnhofsgaststätte,Bahnhof,Gaststätte,19.0,2
Bahnhofsneubau,Bahnhof,Neubau,21.0,2
Bahnhofsseelsorge,Bahnhof,Seelsorge,nan,2
Bahnhofsumfeld,Bahnhof,Umfeld,19.0,2
Bahnhofsvorplatz,Bahnhof,Vorplatz,15.0,2
Bahnhofsvorstadt,Bahnhof,Vorstadt,22.0,2
Bandscheibenvorfall,Bandscheibe,Vorfall,17.0,2
Baseballbundesliga,Baseball,Bundesliga,nan,2
Bauchspeicheldrüsenentzündung,Bauchspeicheldrüse,Entzündung,22.0,2
Bauchspeicheldrüsenkrebs,Bauchspeicheldrüse,Krebs,20.0,2
Baudenkmalpflege,Baudenkmal,Pflege,21.0,2
Baumwollanbau,Baumwolle,Anbau,21.0,2
Baumwollhandschuh,Baumwolle,Handschuh,22.0,2
Baumwollsamenöl,Baumwollsamen,Öl,nan,2
Baumwolltaschentuch,Baumwolle,Taschentuch,nan,2
Baumwollunterwäsche,Baumwolle,Unterwäsche,nan,2
Baustellenfahrzeug,Baustelle,Fahrzeug,20.0,2
Baustellentagebuch,Baustelle,Tagebuch,nan,2
Beamtenrechtsrahmengesetz,Beamtenrecht,Rahmengesetz,23.0,2
Beihilfevorschrift,Beihilfe,Vorschrift,23.0,2
Beiratsmitglied,Beirat,Mitglied,17.0,2
Berufsfeuerwehrfrau,Beruf,Feuerwehrfrau,nan,2
Berufsfeuerwehrmann,Beruf,Feuerwehrmann,20.0,2
Berufshaftpflichtversicherung,Beruf,Haftpflichtversicherung,nan,2
Bestandspflegemaßnahme,Bestandspflege,Maßnahme,nan,2
Betonfertigteilbauer,Betonfertigteil,Bauer,nan,2
Betriebshaftpflichtversicherung,Betrieb,Haftpflichtversicherung,22.0,2
Betriebsratsmitglied,Betriebsrat,Mitglied,18.0,2
Bildschirmarbeitsplatz,Bildschirm,Arbeitsplatz,19.0,2
Bildschirmarbeitsverordnung,Bildschirmarbeit,Verordnung,nan,2
Bildschirmeingabegerät,Bildschirm,Eingabegerät,nan,2
Biomasseheizkraftwerk,Biomasse,Heizkraftwerk,nan,3
Biomassekraftwerk,Biomasse,Kraftwerk,19.0,2
Blockheizkraftwerk,Block,Heizkraftwerk,16.0,2
Blutdruckmessgerät,Blutdruck,Messgerät,19.0,2
Blutzuckermessgerät,Blutzucker,Messgerät,20.0,2
Bodendenkmalpflege,Bodendenkmal,Pflege,19.0,2
Bodendenkmalpfleger,Bodendenkmal,Pfleger,22.0,2
Brandschutzmaßnahme,Brandschutz,Maßnahme,19.0,2
Brandschutzvorschrift,Brandschutz,Vorschrift,20.0,2
Brandverhütungsmaßnahme,Brandverhütung,Maßnahme,nan,2
Braunkohleabbaugebiet,Braunkohle,Abbaugebiet,nan,2
Braunkohlebergbau,Braunkohle,Bergbau,21.0,2
Braunkohlebergwerk,Braunkohle,Bergwerk,23.0,2
Braunkohlekraftwerk,Braunkohle,Kraftwerk,18.0,2
Brennstoffkreislauf,Brennstoff,Kreislauf,20.0,2
Brennstoffzellenauto,Brennstoffzelle,Auto,21.0,2
