compound,modifier,head,frequency_class
Mitglied,mit,Glied,8.0
Sonntag,Sonne,Tag,8.0
Freitag,frei,Tag,8.0
Bürgermeister,Bürger,Meister,9.0
Kilometer,kilo,Meter,9.0
Fußball,Fuß,Ball,9.0
Wochenende,Woche,Ende,9.0
Jahrhundert,Jahr,Hundert,9.0
Krankenhaus,Kranke,Haus,10.0
Vorteil,vor,Teil,10.0
Bundesregierung,Bund,Regierung,10.0
Arbeitsplatz,Arbeit,Platz,10.0
Stadtrat,Stadt,Rat,10.0
Ministerpräsident,Minister,Präsident,10.0
Hintergrund,hintere,Grund,10.0
Bundesliga,Bund,Liga,10.0
Standort,Stand,Ort,10.0
Hauptstadt,haupt,Stadt,10.0
Quadratmeter,Quadrat,Meter,10.0
Rathaus,Rat,Haus,10.0
Bahnhof,Bahn,Hof,10.0
Verbandsgemeinde,Verband,Gemeinde,10.0
Geschäftsführer,Geschäft,Führer,10.0
Gottesdienst,Gott,Dienst,10.0
Vorjahr,vor,Jahr,10.0
Bundestag,Bund,Tag,10.0
Feuerwehr,Feuer,Wehr,10.0
Anteil,an,Teil,10.0
Höhepunkt,Höhe,Punkt,10.0
Kindergarten,Kind,Garten,10.0
Jahrzehnt,Jahr,Zehnt,10.0
Nachmittag,nach,Mittag,10.0
Flughafen,Flug,Hafen,10.0
Geburtstag,Geburt,Tag,10.0
Wettbewerb,Wette,Bewerb,10.0
Gastgeber,Gast,Geber,10.0
Gemeinderat,Gemeinde,Rat,10.0
Fahrzeug,fahren,zeug,10.0
Jahrgang,Jahr,Gang,11.0
Schriftsteller,Schrift,Steller,11.0
Sozialdemokrat,sozial,Demokrat,11.0
Weltkrieg,Welt,Krieg,11.0
Frühjahr,früh,Jahr,11.0
Bürgerhaus,Bürger,Haus,11.0
Oberbürgermeister,obere,Bürgermeister,11.0
Treffpunkt,Treff,Punkt,11.0
Bundeskanzler,Bund,Kanzler,11.0
Weltmeister,Welt,Meister,11.0
Ortsbürgermeister,Ort,Bürgermeister,11.0
Arbeitsmarkt,Arbeit,Markt,11.0
Hochschule,hoch,Schule,11.0
Landkreis,Land,Kreis,11.0
Grundstück,Grund,Stück,11.0
Bundesland,Bund,Land,11.0
Öffnungszeit,Öffnung,Zeit,11.0
Wahlkampf,Wahl,Kampf,11.0
Mittelpunkt,mittlere,Punkt,11.0
Umfeld,um,Feld,11.0
Zentimeter,zenti,Meter,11.0
Kirchengemeinde,Kirche,Gemeinde,11.0
Friedhof,Friede,Hof,11.0
Halbzeit,halb,Zeit,11.0
Zeitpunkt,Zeit,Punkt,11.0
Bundesrat,Bund,Rat,11.0
Vorfeld,vor,Feld,11.0
Landgericht,Land,Gericht,11.0
Bundeswehr,Bund,Wehr,11.0
Bundesrepublik,Bund,Republik,11.0
Außenminister,außen,Minister,11.0
Grundschule,grund,Schule,11.0
Finanzminister,Finanzen,Minister,11.0
Telefonnummer,Telefon,Nummer,11.0
Gasthaus,Gast,Haus,11.0
Grundlage,grund,Lage,11.0
Auftakt,auf,Takt,11.0
Autofahrer,Auto,Fahrer,11.0
Gegensatz,gegen,Satz,11.0
Neubau,neu,Bau,11.0
Tagesordnung,Tag,Ordnung,11.0
Arbeitgeber,Arbeit,Geber,11.0
Flugzeug,Flug,Zeug,11.0
Arbeitnehmer,Arbeit,Nehmer,11.0
Innenstadt,innen,Stadt,11.0
Autobahn,Auto,Bahn,11.0
Stadtteil,Stadt,Teil,11.0
Gegenstand,gegen,Stand,11.0
Schwerpunkt,schwer,Punkt,11.0
Parkplatz,parken,Platz,11.0
Rücktritt,rück,Tritt,11.0
Alltag,alle,Tag,11.0
Regierungschef,Regierung,Chef,11.0
Landrat,Land,Rat,11.0
Umwelt,um,Welt,11.0
Rückstand,rück,Stand,11.0
Sparkasse,sparen,Kasse,11.0
Gegenteil,gegen,Teil,11.0
Landtag,Land,Tag,11.0
Vorbild,vor,Bild,11.0
Spieltag,Spiel,Tag,11.0
Atmosphäre,atmo,Sphäre,11.0
Landwirtschaft,Land,Wirtschaft,11.0
Landesregierung,Land,Regierung,11.0
Innenminister,innen,Minister,11.0
Heimspiel,Heim,Spiel,11.0
Parteitag,Partei,Tag,12.0
Fahrrad,fahren,Rad,12.0
