compound,modifier,head,frequency_class
Aalbestand,Aal,Bestand,22.0
Aalfang,Aal,Fang,20.0
Aalfisch,Aal,Fisch,
Aalmutter,Aal,Mutter,
Aalraupe,Aal,Raupe,
Aalräucherei,Aal,Räucherei,23.0
Aalstrich,Aal,Strich,23.0
Aalsuppe,Aal,Suppe,22.0
Aaretal,Aare,Tal,
Aasfresser,Aas,Fresser,19.0
Aasgeier,Aas,Geier,20.0
Aasgeruch,Aas,Geruch,22.0
Aaskrähe,Aas,Krähe,23.0
Aaskäfer,Aas,Käfer,24.0
Aasvogel,Aas,Vogel,
Abbauarbeit,Abbau,Arbeit,20.0
Abbaufeld,Abbau,Feld,21.0
Abbaufläche,Abbau,Fläche,20.0
Abbaugebiet,Abbau,Gebiet,18.0
Abbaugelände,Abbau,Gelände,
Abbaugrenze,Abbau,Grenze,
Abbaumethode,Abbau,Methode,21.0
Abbauort,Abbau,Ort,
Abbauplan,Abbau,Plan,19.0
Abbauprodukt,Abbau,Produkt,19.0
Abbauprozess,Abbau,Prozess,20.0
Abbaurecht,Abbau,Recht,23.0
Abbaustelle,Abbau,Stelle,22.0
Abbaustätte,Abbau,Stätte,21.0
Abbautiefe,Abbau,Tiefe,
Abbauweg,Abbau,Weg,
Abbiegeassistent,abbiegen,Assistent,
Abbiegeassistenzsystem,abbiegen,Assistenzsystem,
Abbiegespur,abbiegen,Spur,17.0
Abbildtheorie,Abbild,Theorie,
Abbildungsfehler,Abbildung,Fehler,22.0
Abbildungsmaßstab,Abbildung,Maßstab,22.0
Abblendlicht,abblenden,Licht,18.0
Abbrecherquote,Abbrecher,Quote,19.0
Abbrucharbeit,Abbruch,Arbeit,17.0
Abbruchblutung,Abbruch,Blutung,
Abbruchfirma,Abbruch,Firma,20.0
Abbruchhaus,Abbruch,Haus,19.0
Abbruchkante,Abbruch,Kante,21.0
Abbruchkosten,Abbruch,Kosten,20.0
Abbruchmaterial,Abbruch,Material,20.0
Abbruchquote,Abbruch,Quote,21.0
Abbruchunternehmen,Abbruch,Unternehmen,20.0
Abbuchungsbetrag,Abbuchung,Betrag,
Abbuchungserlaubnis,Abbuchung,Erlaubnis,
Abbuchungsermächtigung,Abbuchung,Ermächtigung,
Abdeckplane,abdecken,Plane,20.0
Abdeckplatte,abdecken,Platte,20.0
Abdeckstift,abdecken,Stift,23.0
Abdichtungsarbeit,Abdichtung,Arbeit,21.0
Abdichtungsmaterial,Abdichtung,Material,24.0
Abdichtungsuntergrund,Abdichtung,Untergrund,
Abdichtungswand,Abdichtung,Wand,
Abdreheisen,abdrehen,Eisen,
Abendandacht,Abend,Andacht,19.0
Abendanzug,Abend,Anzug,20.0
Abendausgabe,Abend,Ausgabe,21.0
Abendblatt,Abend,Blatt,16.0
Abendbrot,Abend,Brot,17.0
Abendbrottisch,Abendbrot,Tisch,21.0
Abendbrotzeit,Abendbrot,Zeit,23.0
Abenddämmerung,Abend,Dämmerung,17.0
Abendessen,Abend,Essen,13.0
Abendfahrt,Abend,Fahrt,20.0
Abendführung,Abend,Führung,19.0
Abendgarderobe,Abend,Garderobe,18.0
Abendgebet,Abend,Gebet,17.0
Abendgesellschaft,Abend,Gesellschaft,19.0
Abendgestaltung,Abend,Gestaltung,20.0
Abendglocke,Abend,Glocke,19.0
Abendgottesdienst,Abend,Gottesdienst,17.0
Abendgrauen,Abend,Grauen,
Abendgruß,Abend,Gruß,21.0
Abendgymnasium,Abend,Gymnasium,18.0
Abendhauch,Abend,Hauch,20.0
Abendhimmel,Abend,Himmel,17.0
Abendjournal,Abend,Journal,20.0
Abendkarte,Abend,Karte,20.0
Abendkasse,Abend,Kasse,13.0
Abendkleid,Abend,Kleid,16.0
Abendkleidung,Abend,Kleidung,20.0
Abendkonzert,Abend,Konzert,18.0
Abendkostüm,Abend,Kostüm,
Abendkurs,Abend,Kurs,18.0
Abendland,Abend,Land,15.0
Abendlicht,Abend,Licht,18.0
Abendlied,Abend,Lied,18.0
Abendluft,Abend,Luft,20.0
Abendmahl,Abend,Mahl,14.0
Abendmahlsfeier,Abendmahl,Feier,19.0
Abendmahlsgemeinschaft,Abendmahl,Gemeinschaft,21.0
Abendmahlsgottesdienst,Abendmahl,Gottesdienst,18.0
Abendmahlskanne,Abendmahl,Kanne,
Abendmahlskelch,Abendmahl,Kelch,21.0
Abendmahlslehre,Abendmahl,Lehre,
Abendmahlsliturgie,Abendmahl,Liturgie,
Abendmahlzeit,Abend,Mahlzeit,21.0
Abendmenü,Abend,Menü,20.0
Abendmesse,Abend,Messe,16.0
Abendmode,Abend,Mode,20.0
Abendmusik,Abend,Musik,17.0
Abendpfauenauge,Abend,Pfauenauge,
Abendprogramm,Abend,Programm,16.0
Abendrealschule,Abend,Realschule,21.0
Abendrobe,Abend,Robe,18.0
Abendrot,Abend,Rot,18.0
Abendruhe,Abend,Ruhe,20.0
Abendrunde,Abend,Runde,23.0
Abendröte,Abend,Röte,19.0
Abendschau,Abend,Schau,18.0
Abendschein,Abend,Schein,21.0
Abendschicht,Abend,Schicht,22.0
Abendschule,Abend,Schule,18.0
Abendsegler,Abend,Segler,20.0
Abendseminar,Abend,Seminar,20.0
Abendsendung,Abend,Sendung,21.0
Abendshow,Abend,Show,20.0
Abendsonne,Abend,Sonne,17.0
Abendspaziergang,Abend,Spaziergang,18.0
Abendspiel,Abend,Spiel,18.0
Abendstern,Abend,Stern,19.0
Abendstille,Abend,Stille,22.0
Abendstimmung,Abend,Stimmung,19.0
Abendstudium,Abend,Studium,20.0
Abendstunde,Abend,Stunde,14.0
Abendtafel,Abend,Tafel,
Abendtermin,Abend,Termin,19.0
Abendunterhaltung,Abend,Unterhaltung,17.0
Abendunterricht,Abend,Unterricht,21.0
Abendveranstaltung,Abend,Veranstaltung,16.0
Abendverkehr,Abend,Verkehr,21.0
Abendvorstellung,Abend,Vorstellung,18.0
Abendvortrag,Abend,Vortrag,20.0
Abendwanderung,Abend,Wanderung,18.0
Abendwind,Abend,Wind,19.0
Abendzeit,Abend,Zeit,20.0
Abendzeitung,Abend,Zeitung,17.0
Abendöffnung,Abend,Öffnung,18.0
Abenteuerbuch,Abenteuer,Buch,20.0
Abenteuerfahrt,Abenteuer,Fahrt,20.0
Abenteuerferien,Abenteuer,Ferien,
Abenteuerfilm,Abenteuer,Film,17.0
Abenteuergeschichte,Abenteuer,Geschichte,18.0
Abenteuerkomödie,Abenteuer,Komödie,21.0
Abenteuerland,Abenteuer,Land,18.0
Abenteuerliteratur,Abenteuer,Literatur,22.0
Abenteuerlust,Abenteuer,Lust,17.0
Abenteuerpark,Abenteuer,Park,21.0
Abenteuerreise,Abenteuer,Reise,19.0
Abenteuerroman,Abenteuer,Roman,19.0
Abenteuerromantik,Abenteuer,Romantik,
Abenteuerserie,Abenteuer,Serie,21.0
Abenteuerspiel,Abenteuer,Spiel,19.0
Abenteuerspielplatz,Abenteuer,Spielplatz,16.0
Abenteuersport,Abenteuer,Sport,
Abenteuersuche,Abenteuer,Suche,23.0
Abenteuertour,Abenteuer,Tour,20.0
Abenteuertrip,Abenteuer,Trip,21.0
Abenteuerurlaub,Abenteuer,Urlaub,19.0
Abessinierkatze,Abessinien,Katze,
Abfahrtgleis,Abfahrt,Gleis,
Abfahrtshaltestelle,Abfahrt,Haltestelle,
Abfahrtshang,Abfahrt,Hang,22.0
Abfahrtslauf,Abfahrt,Lauf,18.0
Abfahrtsort,Abfahrt,Ort,20.0
Abfahrtspiste,Abfahrt,Piste,19.0
Abfahrtsrennen,Abfahrt,Rennen,19.0
Abfahrtsstrecke,Abfahrt,Strecke,19.0
Abfahrtstermin,Abfahrt,Termin,21.0
Abfahrtstraining,Abfahrt,Training,18.0
Abfahrtsweltcup,Abfahrt,Weltcup,19.0
Abfahrtszeit,Abfahrt,Zeit,16.0
Abfallanalyse,Abfall,Analyse,
Abfallart,Abfall,Art,20.0
Abfallaufkommen,Abfall,Aufkommen,20.0
Abfallbehandlung,Abfall,Behandlung,19.0
Abfallbehandlungsanlage,Abfallbehandlung,Anlage,20.0
Abfallbehälter,Abfall,Behälter,17.0
Abfallberg,Abfall,Berg,18.0
Abfallbeseitigung,Abfall,Beseitigung,17.0
Abfallcontainer,Abfall,Container,19.0
Abfalldeponie,Abfall,Deponie,20.0
Abfalleimer,Abfall,Eimer,17.0
Abfallentsorger,Abfall,Entsorger,20.0
Abfallentsorgung,Abfall,Entsorgung,16.0
Abfallentsorgungsanlage,Abfallentsorgung,Anlage,20.0
Abfallerzeugnis,Abfall,Erzeugnis,
Abfallfrage,Abfall,Frage,
Abfallgebühr,Abfall,Gebühr,18.0
Abfallgesetz,Abfall,Gesetz,18.0
Abfallgrube,Abfall,Grube,20.0
Abfallhalde,Abfall,Halde,20.0
Abfallhaufen,Abfall,Haufen,19.0
Abfallholz,Abfall,Holz,20.0
Abfallkalender,Abfall,Kalender,19.0
Abfallkorb,Abfall,Korb,19.0
Abfallkübel,Abfall,Kübel,19.0
Abfallmaterial,Abfall,Material,21.0
Abfallmenge,Abfall,Menge,18.0
Abfallpolitik,Abfall,Politik,18.0
Abfallproblem,Abfall,Problem,20.0
Abfallprodukt,Abfall,Produkt,17.0
Abfallrecht,Abfall,Recht,19.0
Abfallreduzierung,Abfall,Reduzierung,23.0
Abfallsack,Abfall,Sack,18.0
Abfallsammlung,Abfall,Sammlung,21.0
Abfallstoff,Abfall,Stoff,19.0
Abfallstrom,Abfall,Strom,22.0
Abfallsünder,Abfall,Sünder,
Abfalltechnik,Abfall,Technik,22.0
Abfalltonne,Abfall,Tonne,19.0
Abfalltrennung,Abfall,Trennung,19.0
Abfalluntersuchung,Abfall,Untersuchung,
Abfallverbrennung,Abfall,Verbrennung,20.0
Abfallverbrennungsanlage,Abfallverbrennung,Anlage,21.0
Abfallvermeidung,Abfall,Vermeidung,18.0
Abfallverwertung,Abfall,Verwertung,18.0
Abfallvolumen,Abfall,Volumen,22.0
Abfallwiederverwertung,Abfall,Wiederverwertung,
Abfallwirtschaft,Abfall,Wirtschaft,15.0
Abfallwirtschaftsbetrieb,Abfall,Wirtschaftsbetrieb,16.0
Abfallwirtschaftsgesellschaft,Abfallwirtschaft,Gesellschaft,21.0
Abfallwirtschaftsgesetz,Abfallwirtschaft,Gesetz,19.0
Abfallwirtschaftsingenieur,Abfallwirtschaft,Ingenieur,
Abfallwirtschaftskonzept,Abfallwirtschaft,Konzept,19.0
Abfangjäger,abfangen,Jäger,17.0
Abfangrakete,abfangen,Rakete,19.0
Abfertigungsgebäude,Abfertigung,Gebäude,19.0
Abfertigungshalle,Abfertigung,Halle,20.0
Abfertigungskapazität,Abfertigung,Kapazität,21.0
Abfertigungsschalter,Abfertigung,Schalter,20.0
Abfindungsangebot,Abfindung,Angebot,18.0
Abfindungsanspruch,Abfindung,Anspruch,21.0
Abfindungsregelung,Abfindung,Regelung,20.0
Abfindungssumme,Abfindung,Summe,20.0
Abfindungszahlung,Abfindung,Zahlung,19.0
Abflugebene,Abflug,Ebene,22.0
Abfluggewicht,Abflug,Gewicht,21.0
Abflughafen,Abflug,Hafen,20.0
Abflughalle,Abflug,Halle,18.0
Abflugort,Abflug,Ort,21.0
Abflugplan,Abflug,Plan,
Abflugroute,Abflug,Route,19.0
Abflugtag,Abflug,Tag,22.0
Abflugtermin,Abflug,Termin,20.0
Abflugzeit,Abflug,Zeit,20.0
Abflusskanal,Abfluss,Kanal,21.0
Abflussmenge,Abfluss,Menge,
Abflussregime,Abfluss,Regime,
Abflussreiniger,Abfluss,Reiniger,22.0
Abflussrinne,Abfluss,Rinne,
Abflussrohr,Abfluss,Rohr,18.0
Abfragemaske,Abfrage,Maske,
Abfragemöglichkeit,Abfrage,Möglichkeit,
Abfragesprache,Abfrage,Sprache,
Abführmittel,abführen,Mittel,19.0
Abfüllanlage,abfüllen,Anlage,18.0
Abfüllbetrieb,abfüllen,Betrieb,20.0
Abfüllgerät,abfüllen,Gerät,
Abgabedruck,Abgabe,Druck,18.0
Abgabefrist,Abgabe,Frist,19.0
Abgabemenge,Abgabe,Menge,21.0
Abgabenbelastung,Abgabe,Belastung,19.0
Abgabenerhebung,Abgabe,Erhebung,
Abgabenerhöhung,Abgabe,Erhöhung,19.0
Abgabenlast,Abgabe,Last,17.0
Abgabenordnung,Abgabe,Ordnung,19.0
Abgabenquote,Abgabe,Quote,18.0
Abgabenrecht,Abgabe,Recht,21.0
Abgabensystem,Abgabe,System,20.0
Abgabepflicht,Abgabe,Pflicht,21.0
Abgabepreis,Abgabe,Preis,19.0
Abgabesaldo,Abgabe,Saldo,21.0
Abgabesatz,Abgabe,Satz,20.0
Abgabeschluss,Abgabe,Schluss,19.0
Abgabesoll,Abgabe,Soll,
Abgabestelle,Abgabe,Stelle,19.0
Abgabetermin,Abgabe,Termin,18.0
Abgangsklasse,Abgang,Klasse,20.0
Abgangszeugnis,Abgang,Zeugnis,21.0
Abgas,ab,Gas,15.0
Abgasanlage,Abgas,Anlage,20.0
Abgasausstoß,Abgas,Ausstoß,21.0
Abgasbelastung,Abgas,Belastung,19.0
Abgasbestimmung,Abgas,Bestimmung,22.0
Abgasemission,Abgas,Emission,20.0
Abgasgrenzwert,Abgas,Grenzwert,20.0
Abgaskatalysator,Abgas,Katalysator,22.0
Abgasmessung,Abgas,Messung,21.0
Abgasnorm,Abgas,Norm,17.0
Abgasreinigung,Abgas,Reinigung,19.0
Abgasrohr,Abgas,Rohr,21.0
Abgasrückführung,Abgas,Rückführung,21.0
Abgassonderuntersuchung,Abgas,Sonderuntersuchung,22.0
Abgasstrahl,Abgas,Strahl,22.0
Abgassystem,Abgas,System,21.0
Abgastemperatur,Abgas,Temperatur,21.0
Abgastest,Abgas,Test,21.0
Abgasturbine,Abgas,Turbine,
Abgasturbolader,Abgas,Turbolader,21.0
Abgasuntersuchung,Abgas,Untersuchung,19.0
Abgasverlust,Abgas,Verlust,20.0
Abgasvorschrift,Abgas,Vorschrift,19.0
Abgaswert,Abgas,Wert,18.0
Abgeltungssteuer,Abgeltung,Steuer,17.0
Abgeordnetenbank,Abgeordnete,Bank,20.0
Abgeordnetenbestechung,Abgeordnete,Bestechung,21.0
Abgeordnetenbüro,Abgeordnete,Büro,18.0
Abgeordnetenentschädigung,Abgeordnete,Entschädigung,21.0
Abgeordnetengesetz,Abgeordnete,Gesetz,19.0
Abgeordnetenhaus,Abgeordnete,Haus,13.0
Abgeordnetenhauswahl,Abgeordnetenhaus,Wahl,16.0
Abgeordnetenkammer,Abgeordnete,Kammer,17.0
Abgeordnetenkollege,Abgeordnete,Kollege,21.0
Abgeordnetenmandat,Abgeordnete,Mandat,18.0
Abgeordnetensitz,Abgeordnete,Sitz,19.0
Abgeordnetentätigkeit,Abgeordnete,Tätigkeit,20.0
Abgeordnetenversammlung,Abgeordnete,Versammlung,20.0
Abgeordnetenzahl,Abgeordnete,Zahl,21.0
Abgeordnetenzeit,Abgeordnete,Zeit,22.0
Abgrenzungsfrage,Abgrenzung,Frage,22.0
Abgrenzungskriterium,Abgrenzung,Kriterium,22.0
Abgrenzungsproblem,Abgrenzung,Problem,20.0
Abgrenzungsschwierigkeit,Abgrenzung,Schwierigkeit,
Abgusssammlung,Abguss,Sammlung,22.0
Abhilfemaßnahme,Abhilfe,Maßnahme,22.0
Abhängigkeitsbeziehung,Abhängigkeit,Beziehung,
Abhängigkeitserkrankung,Abhängigkeit,Erkrankung,
Abhängigkeitsverhältnis,Abhängigkeit,Verhältnis,18.0
Abhöraffäre,abhören,Affäre,20.0
Abhöraktion,abhören,Aktion,18.0
Abhöranlage,abhören,Anlage,19.0
Abhörgerät,abhören,Gerät,19.0
Abhörmaßnahme,abhören,Maßnahme,19.0
Abhörpraktik,abhören,Praktik,23.0
Abhörprotokoll,abhören,Protokoll,19.0
Abhörraum,abhören,Raum,24.0
Abhörsicherheit,abhören,Sicherheit,22.0
Abhörskandal,abhören,Skandal,20.0
Abhörstation,abhören,Station,21.0
Abhörtechnik,abhören,Technik,22.0
