compound,modifier,head
Aalbestand,Aal,Bestand
Aalfang,Aal,Fang
Aalfisch,Aal,Fisch
Aalmutter,Aal,Mutter
Aalquappe,Aal,Quappe
Aalräucherei,Aal,Räucherei
Aalraupe,Aal,Raupe
Aalstrich,Aal,Strich
Aalsuppe,Aal,Suppe
Aaretal,Aare,Tal
Aasfresser,Aas,Fresser
Aasgeier,Aas,Geier
Aasgeruch,Aas,Geruch
Aaskäfer,Aas,Käfer
Aaskrähe,Aas,Krähe
Aasvogel,Aas,Vogel
Abänderungsantrag,Abänderung,Antrag
Abbauarbeit,Abbau,Arbeit
Abbaufeld,Abbau,Feld
Abbaufläche,Abbau,Fläche
Abbaugebiet,Abbau,Gebiet
Abbaugelände,Abbau,Gelände
Abbaugrenze,Abbau,Grenze
Abbaumethode,Abbau,Methode
Abbauort,Abbau,Ort
Abbauplan,Abbau,Plan
Abbauprodukt,Abbau,Produkt
Abbauprozess,Abbau,Prozess
Abbaurecht,Abbau,Recht
Abbaustätte,Abbau,Stätte
Abbaustelle,Abbau,Stelle
Abbautiefe,Abbau,Tiefe
Abbauweg,Abbau,Weg
Abbiegeassistent,abbiegen,Assistent
Abbiegeassistenzsystem,abbiegen,Assistenzsystem
Abbiegespur,abbiegen,Spur
Abbildtheorie,Abbild,Theorie
Abbildungsfehler,Abbildung,Fehler
Abbildungsmaßstab,Abbildung,Maßstab
Abblendlicht,abblenden,Licht
Abbrecherquote,Abbrecher,Quote
Abbrucharbeit,Abbruch,Arbeit
Abbruchblutung,Abbruch,Blutung
Abbruchfirma,Abbruch,Firma
Abbruchhaus,Abbruch,Haus
Abbruchkante,Abbruch,Kante
Abbruchkosten,Abbruch,Kosten
Abbruchmaterial,Abbruch,Material
Abbruchquote,Abbruch,Quote
Abbruchunternehmen,Abbruch,Unternehmen
Abbuchungsbetrag,Abbuchung,Betrag
Abbuchungserlaubnis,Abbuchung,Erlaubnis
Abbuchungsermächtigung,Abbuchung,Ermächtigung
Abdeckcreme,abdecken,Creme
Abdeckplane,abdecken,Plane
Abdeckplatte,abdecken,Platte
Abdeckstift,abdecken,Stift
Abdichtungsarbeit,Abdichtung,Arbeit
Abdichtungsmaterial,Abdichtung,Material
Abdichtungsuntergrund,Abdichtung,Untergrund
Abdichtungswand,Abdichtung,Wand
Abdreheisen,abdrehen,Eisen
Abdrucknahme,Abdruck,Nahme
Abelmoschus,Abel,Moschus
Abendandacht,Abend,Andacht
Abendanzug,Abend,Anzug
Abendausgabe,Abend,Ausgabe
Abendblatt,Abend,Blatt
Abendbrot,Abend,Brot
