compound,modifier,head,frequency_class
Aalbestand,Aal,Bestand,
Aalfang,Aal,Fang,
Aalfisch,Aal,Fisch,
Aalmutter,Aal,Mutter,
Aalquappe,Aal,Quappe,
Aalraupe,Aal,Raupe,
Aalräucherei,Aal,Räucherei,19.0
Aalstrich,Aal,Strich,19.0
Aalsuppe,Aal,Suppe,
Aaretal,Aare,Tal,
Aasfresser,Aas,Fresser,19.0
Aasgeier,Aas,Geier,
Aasgeruch,Aas,Geruch,
Aaskrähe,Aas,Krähe,18.0
Aaskäfer,Aas,Käfer,19.0
Aasvogel,Aas,Vogel,
Abbauarbeit,Abbau,Arbeit,
Abbaufeld,Abbau,Feld,19.0
Abbaufläche,Abbau,Fläche,19.0
Abbaugebiet,Abbau,Gebiet,
Abbaugelände,Abbau,Gelände,
Abbaugrenze,Abbau,Grenze,
Abbaumethode,Abbau,Methode,
Abbauort,Abbau,Ort,
Abbauplan,Abbau,Plan,19.0
Abbauprodukt,Abbau,Produkt,19.0
Abbauprozess,Abbau,Prozess,18.0
Abbaurecht,Abbau,Recht,
Abbaustelle,Abbau,Stelle,
Abbaustätte,Abbau,Stätte,
Abbautiefe,Abbau,Tiefe,
Abbauweg,Abbau,Weg,
Abbiegeassistent,abbiegen,Assistent,19.0
Abbiegeassistenzsystem,abbiegen,Assistenzsystem,
Abbiegespur,abbiegen,Spur,19.0
Abbildtheorie,Abbild,Theorie,
Abbildungsfehler,Abbildung,Fehler,19.0
Abbildungsmaßstab,Abbildung,Maßstab,19.0
Abblendlicht,abblenden,Licht,18.0
Abbrecherquote,Abbrecher,Quote,17.0
Abbrucharbeit,Abbruch,Arbeit,
Abbruchblutung,Abbruch,Blutung,18.0
Abbruchfirma,Abbruch,Firma,19.0
Abbruchhaus,Abbruch,Haus,
Abbruchkante,Abbruch,Kante,
Abbruchkosten,Abbruch,Kosten,17.0
Abbruchmaterial,Abbruch,Material,
Abbruchquote,Abbruch,Quote,17.0
Abbruchunternehmen,Abbruch,Unternehmen,
Abbuchungsbetrag,Abbuchung,Betrag,
Abbuchungserlaubnis,Abbuchung,Erlaubnis,
Abbuchungsermächtigung,Abbuchung,Ermächtigung,19.0
Abdeckcreme,abdecken,Creme,
Abdeckplane,abdecken,Plane,17.0
Abdeckplatte,abdecken,Platte,18.0
Abdeckstift,abdecken,Stift,
Abdichtungsarbeit,Abdichtung,Arbeit,
Abdichtungsmaterial,Abdichtung,Material,
Abdichtungsuntergrund,Abdichtung,Untergrund,
Abdichtungswand,Abdichtung,Wand,
Abdreheisen,abdrehen,Eisen,
