name,modifier,head,freq_class
someone,some,one,6.0
somebody,some,body,7.0
good night,good,night,8.0
somewhere,some,where,8.0
good morning,good,morning,8.0
goodbye,good,bye,8.0
sweetheart,sweet,heart,9.0
boyfriend,boy,friend,9.0
girlfriend,girl,friend,9.0
breakfast,break,fast,9.0
weekend,week,end,9.0
birthday,birth,day,9.0
bullshit,bulls,hit,9.0
afternoon,after,noon,9.0
good luck,good,luck,9.0
looking at,looking,at,9.0
bathroom,bath,room,9.0
asshole,ass,hole,9.0
high school,high,school,9.0
old man,old,man,9.0
bullshit,bull,shit,9.0
getaway,get,away,9.0
at home,at,home,9.0
nowhere,now,here,10.0
gentleman,gentle,man,10.0
comedown,come,down,10.0
motherfucker,mother,fucker,10.0
little girl,little,girl,10.0
coming back,coming,back,10.0
way out,way,out,10.0
football,foot,ball,10.0
in time,in,time,10.0
good time,good,time,10.0
turnaround,turn,around,10.0
young man,young,man,10.0
best friend,best,friend,10.0
midnight,mid,night,10.0
airport,air,port,10.0
takeoff,take,off,10.0
lookout,look,out,10.0
say-so,say,so,10.0
bedroom,bed,room,10.0
number one,number,one,10.0
workout,work,out,10.0
bye-bye,bye,bye,10.0
cellphone,cell,phone,11.0
meantime,mean,time,11.0
cowboy,cow,boy,11.0
nightmare,night,mare,11.0
basketball,basket,ball,11.0
lifetime,life,time,11.0
understanding,under,standing,11.0
baseball,base,ball,11.0
walkaway,walk,away,11.0
runaway,run,away,11.0
underwear,under,wear,11.0
suitcase,suit,case,11.0
takeover,take,over,11.0
newspaper,news,paper,11.0
grandmother,grand,mother,11.0
downtown,down,town,11.0
whatnot,what,not,11.0
cutoff,cut,off,11.0
checkout,check,out,11.0
takeout,take,out,11.0
background,back,ground,11.0
thanksgiving,thanks,giving,11.0
walkout,walk,out,11.0
turnout,turn,out,11.0
grandfather,grand,father,11.0
hangout,hang,out,11.0
pullover,pull,over,11.0
slowdown,slow,down,11.0
honeymoon,honey,moon,11.0
highway,high,way,11.0
human being,human,being,11.0
icecream,ice,cream,11.0
network,net,work,11.0
young lady,young,lady,11.0
heart attack,heart,attack,11.0
work-in,work,in,11.0
old lady,old,lady,11.0
homework,home,work,11.0
living-room,living,room,11.0
good afternoon,good,afternoon,11.0
phone number,phone,number,11.0
credit card,credit,card,11.0
good day,good,day,11.0
great deal,great,deal,11.0
know nothing,know,nothing,11.0
meanwhile,mean,while,11.0
do-nothing,do,nothing,11.0
headache,head,ache,11.0
walk-in,walk,in,11.0
phone call,phone,call,11.0
put-down,put,down,12.0
turnoff,turn,off,12.0
layoff,lay,off,12.0
cutout,cut,out,12.0
overall,over,all,12.0
peanut,pea,nut,12.0
stand-in,stand,in,12.0
parking lot,parking,lot,12.0
kidnapping,kid,napping,12.0
little brother,little,brother,12.0
nickname,nick,name,12.0
right hand,right,hand,12.0
check-in,check,in,12.0
roommate,room,mate,12.0
front door,front,door,12.0
call-in,call,in,12.0
runoff,run,off,12.0
putout,put,out,12.0
air force,air,force,12.0
young woman,young,woman,12.0
cocktail,cock,tail,12.0
password,pas,sword,12.0
cocksucker,cock,sucker,12.0
lipstick,lip,stick,12.0
district attorney,district,attorney,12.0
grandson,grand,son,12.0
gunshot,gun,shot,12.0
ex-wife,ex,wife,12.0
old times,old,times,12.0
last name,last,name,12.0
sunshine,sun,shine,12.0
sunset,sun,set,12.0
dead body,dead,body,12.0
courtroom,court,room,12.0
dining room,dining,room,12.0
law school,law,school,12.0
railroad,rail,road,12.0
earthquake,earth,quake,12.0
bad luck,bad,luck,12.0
airplane,air,plane,12.0
kidnapping,kidnap,ping,12.0
old boy,old,boy,12.0
look-over,look,over,12.0
businessman,business,man,12.0
back door,back,door,12.0
vice president,vice,president,12.0
police station,police,station,12.0
blackmail,black,mail,12.0
chairman,chair,man,12.0
shutdown,shut,down,12.0
lookdown,look,down,12.0
hotdog,hot,dog,12.0
half-hour,half,hour,12.0
motorcycle,motor,cycle,12.0
haircut,hair,cut,12.0
bartender,bar,tender,12.0
aircraft,air,craft,12.0
popcorn,pop,corn,12.0
white man,white,man,12.0
broadcast,broad,cast,12.0
real world,real,world,12.0
briefcase,brief,case,12.0
good guy,good,guy,12.0
going-over,going,over,12.0
rainbow,rain,bow,12.0
police officer,police,officer,12.0
starboard,star,board,12.0
doorbell,door,bell,12.0
hotel room,hotel,room,12.0
working out,working,out,12.0
outback,out,back,12.0
birthday party,birthday,party,12.0
takeaway,take,away,12.0
first name,first,name,12.0
