you,1838118
the,1469944
i,1452104
to,1139540
a,1018421
and,666115
it,657959
of,578251
that,544119
in,488936
me,465129
is,452810
what,423027
this,401302
on,349186
for,346362
my,339214
your,324379
we,317540
have,310743
do,309656
no,300175
be,288512
know,288171
was,283423
not,273542
he,264335
are,262383
all,256075
with,253270
just,239057
get,231515
but,221150
here,219019
so,212763
right,202150
like,201126
out,194597
go,191329
up,184580
about,183406
if,178051
him,175400
can,171689
got,166610
oh,164940
at,161467
now,160332
come,158363
there,157397
one,150873
well,150300
yeah,150288
they,147173
her,142047
how,141583
want,139302
think,136023
good,131504
see,128689
she,127709
did,118353
why,111664
as,110369
going,107332
will,106187
his,105638
from,101963
okay,101576
back,101104
gonna,100709
when,100693
yes,100426
look,98173
time,97524
take,95271
an,93550
who,92762
them,89421
man,88974
been,87219
tell,87062
hey,86956
some,86938
would,85853
us,85203
or,84798
had,83772
were,83340
say,82291
could,79148
where,76534
really,75688
down,74659
then,74549
something,73901
little,72763
way,71374
our,70084
make,69655
too,69030
never,68171
over,66616
by,66435
need,65321
more,64953
let,63976
mean,62851
very,62458
off,59443
mr,59315
sorry,59167
give,58821
has,56815
thank,56364
said,55728
sure,55630
please,55521
any,55432
love,54635
only,54233
thing,54098
people,53880
because,53793
two,53508
doing,52098
should,50855
am,49715
much,48951
sir,48311
maybe,46678
help,46539
anything,45691
these,45392
even,44039
call,43375
talk,43248
god,43071
night,42725
into,42270
first,42175
wait,41855
nothing,41819
find,41746
put,41688
great,41364
thought,40732
work,40152
better,39992
before,39892
again,39591
still,39492
day,39337
life,38841
home,38771
those,37858
than,37014
around,36939
away,36487
last,36303
other,36234
new,36113
uh,35815
stop,35634
guy,35624
ever,35465
told,35363
keep,35273
things,34672
big,34342
after,34095
does,33659
long,33529
must,33464
nice,32901
always,32776
their,32507
guys,31943
money,31803
thanks,31545
believe,31365
feel,31283
old,30394
place,30231
fine,30215
name,30152
kind,29789
everything,29744
hello,29548
lot,28724
years,28399
leave,28238
hi,28178
made,28113
hear,27855
listen,27484
through,27361
every,27338
bad,27244
remember,27220
three,27094
girl,26670
coming,26558
wrong,26365
stay,26011
house,25829
ok,25630
boy,25552
may,25550
might,25521
gotta,25518
another,25439
wanna,25423
wanted,25322
talking,25180
enough,25161
father,25067
happened,24756
course,24533
care,24466
getting,24460
ask,24417
done,24404
being,24395
understand,24345
left,24303
mind,24207
baby,24124
show,24117
try,23964
car,23836
shit,23795
which,23688
miss,23602
dad,23497
came,23249
own,23014
guess,22965
kill,22876
next,22803
trying,22644
hell,22574
dead,22554
real,22206
huh,22177
room,21975
else,21975
hold,21903
yourself,21888
morning,21847
looking,21794
mother,21604
world,21269
move,21002
same,20927
today,20760
someone,20742
woman,20729
job,20690
went,20638
friend,20599
best,20297
saw,20247
mom,20091
tonight,20068
son,19984
found,19829
pretty,19770
heard,19553
ready,19548
whole,19403
seen,19361
together,19136
minute,19059
fuck,18900
excuse,18675
matter,18587
knew,18470
head,18403
idea,18140
men,18009
many,17926
play,17762
meet,17740
without,17709
run,17544
while,17459
most,17431
use,17326
used,17309
live,17211
family,17202
took,17191
myself,17174
once,17138
yet,17123
start,17062
called,17049
happy,16693
problem,16660
watch,16617
school,16541
fucking,16516
tomorrow,16508
bring,16444
wife,16411
actually,16250
business,16163
says,16122
open,16080
kid,16071
already,16069
hope,16056
since,15778
sit,15738
mrs,15709
looks,15704
somebody,15575
wants,15511
alone,15445
hard,15423
stuff,15324
friends,15323
everybody,15308
days,15279
turn,15249
until,15179
honey,15176
few,15174
kids,15174
dr,14934
cause,14885
both,14817
gone,14744
saying,14693
later,14661
killed,14624
having,14597
such,14577
worry,14487
face,14458
door,14404
ago,14356
damn,14305
second,14290
five,14290
case,14227
thinking,14173
probably,14166
check,14095
beautiful,13973
forget,13931
hand,13866
minutes,13752
hit,13748
lost,13735
crazy,13649
late,13587
phone,13430
shut,13361
easy,13348
brother,13263
end,13191
under,13098
deal,13082
die,13044
year,13009
part,12991
soon,12911
