compound,modifier,head,time,level,app_version
Zentralbank,Zentrale,Bank,2024-03-29 12:24:41.902,2024-03-07 00:00:00.000,1.1.1
Einzelgarage,einzeln,Garage,2024-01-11 17:03:04.232,null,null
Kraftstraße,Kraft,Straße,2024-01-07 16:17:56.368,null,null
Aufstand,auf,Stand,2024-03-23 22:37:30.821,null,null
Fischerboot,Fisch,Boot,2024-03-26 16:04:03.015,null,null
Werkraum,Werk,Raum,2024-03-08 21:19:56.507,null,null
Polizeistreife,Polizist,Streife,2024-03-19 11:43:10.320,null,null
Ufergelände,Ufer,Gelände,2024-03-28 21:28:15.385,2024-03-28 21:25:06.930626,1.1.1
Regenwassertonne,Regenwasser,Tonne,2024-03-11 13:49:42.506,null,null
Einstellung,ein,Stellung,2024-01-01 22:46:19.902,null,null
Aufzug,auf,Zug,2024-04-04 14:44:26.754,360,1.1.1
Vorfall,vor,Fall,2024-03-28 08:54:29.118,null,null
Untergang,unter,Gang,2024-03-16 22:25:32.180,null,null
Aufstand,auf,Stand,2024-03-23 09:32:58.834,null,null
Chefin,Chef,in,2024-04-05 14:15:16.893,389,1.1.1
Regenwassertonne,Regenwasser,Tonne,2024-03-23 13:28:12.856,null,null
Chorklasse,Chor,Klasse,2024-03-22 20:49:13.176,9,1.0.0
felixtest,Pracht,Entblößung,2024-03-24 22:58:06.520,202,1.1.0
Kampftitel,Kampf,Titel,2024-03-26 15:34:45.475,6,1.1.0
Unterhaltungsprogramm,Unterhalter,Programm,2024-03-29 11:54:10.719,148,1.1.2
Nachklang,nach,Klang,2024-01-01 22:47:32.317,null,null
Unfallfolgen,Unfall,folgen,2024-03-31 14:16:59.775,277,1.1.1
Eigenbestimmung,eigen,Bestimmung,2024-03-31 20:20:47.400,100,1.1.0
Lokalwahl,Lokal,Wahl,2024-03-03 22:18:45.704,null,null
Überbringer,über,Bringer,2024-03-23 13:37:08.705,null,null
Sprechpause,Sprecher,Pause,2024-03-23 11:59:21.661,null,null
Fernverkehr,fern,Verkehr,2024-04-05 15:37:20.067,150,1.1.2
Werktag,werken,Tag,2023-12-19 22:58:22.886,null,null
Einnahme,ein,Nahme,2024-01-01 22:46:58.171,null,null
Beifall,bei,Fall,2024-03-09 22:50:22.783,null,null
Grundgesetz,Grund,Gesetz,2024-03-22 11:42:51.599,null,null
Einfall,ein,Fall,2024-04-09 09:58:06.265,404,1.1.2
selbsthilfeforum,Selbsthilfe,Forum,2024-03-22 16:13:20.667,null,null
Anführer,an,Führer,2024-03-24 18:03:41.723,null,null
unterdruck,untere,Druck,2024-04-09 12:02:05.556,179,1.1.3
Einfall,ein,Fall,2024-03-08 21:23:36.023,null,null
Vorschlag,vor,schlagen,2024-03-23 22:36:53.623,22,1.1.0
Kurzschluss,kurz,Schluss,2024-03-23 10:56:31.433,null,null
Spielerfrau,Spieler,Frau,2024-04-01 13:00:44.020,2024-04-01 12:59:04.888422,1.1.2
Umgang,um,Gang,2024-03-27 12:08:39.729,2024-03-27 12:08:25.462438,1.1.1
Schlagermusik,schlagen,Musik,2024-03-08 12:33:36.785,null,null
Anprobe,an,Probe,2024-03-31 20:32:31.391,103,1.1.0
anhören,an,Hören,2024-03-22 16:13:56.097,null,null
Vorfahrt,vor,Fahrt,2024-03-26 17:01:44.240,null,null
Mittelwert,Mittel,Wert,2023-12-15 23:35:00.396,null,null
danke,Schatz,Wort,2024-04-09 14:15:03.919,1,1.1.2
Alltag,all,Tag,2023-12-31 19:24:26.010,null,null
Fensterfarben,Fenster,Farbe,2024-03-28 20:10:25.271,128,1.1.2
Beispielsweise,Beispiel,Weise,2024-03-19 19:23:22.102,null,null
Aufstand,auf,Stand,2024-03-23 14:10:24.694,null,null
Maßnahme,Maß,Nahme,2023-12-19 21:23:23.179,null,null
Kirchentagung,Kirche,Tagung,2024-03-24 12:11:13.063,2024-03-18 00:00:00.000,1.1.0
Anflug,an,Flug,2024-03-30 19:34:12.991,48,1.1.1
Kunstwerk,Kunst,werken,2024-03-23 09:23:47.119,null,null
Schlagzeug,schlagen,Zeug,2024-04-03 09:10:39.022,338,1.1.1
überschlagen,über,schlagen,2024-03-23 13:38:12.786,null,null
Überfall,über,Fall,2024-03-26 10:27:59.613,null,null
Trainingslauf,Training,laufen,2024-03-28 12:06:29.931,126,1.1.2
Ausweichtraining,ausweichen,Training,2024-03-30 12:38:00.316,86,1.1.0
vertribesgelände,Vertreib,Gelände,2024-03-28 21:29:45.542,2024-03-28 21:25:06.930626,1.1.1
Kuchenboden,Kuchen,Boden,2024-03-31 12:40:45.407,2024-02-02 00:00:00.000,1.1.2
Anbau,an,Bau,2024-03-22 16:14:50.956,null,null
Ansagen,an,Sagen,2024-03-22 16:12:53.268,null,null
Vorfall,vor,Fall,2024-01-16 21:49:23.964,null,null
Sitzplatz,sitzen,Platz,2024-03-23 22:46:21.604,null,null
Mitgliedsrat,Mitglied,Rat,2024-03-24 20:47:45.930,null,null
