compound,modifier,head
Ansicht,an,Sicht
Anblick,an,Blick
Andenken,an,denken
Dumpinglohn,dumping,Lohn
Vorsatz,vor,Satz
Schauspiel,Schau,Spiel
Klubbetreiber,Klub,Betreiber
Schlagzeug,schlagen,Zeug
Aufkommen,auf,kommen
Einzelgarage,einzeln,Garage
Kraftstraße,Kraft,Straße
Werkraum,Werk,Raum
Regenwassertonne,Regenwasser,Tonne
Einstellung,ein,Stellung
Untergang,unter,Gang
Nachklang,nach,Klang
Lokalwahl,Lokal,Wahl
Werktag,werken,Tag
Einnahme,ein,Nahme
Beifall,bei,Fall
Einfall,ein,Fall
Schlagermusik,schlagen,Musik
Mittelwert,Mittel,Wert
Alltag,all,Tag
Maßnahme,Maß,Nahme
Vorfall,vor,Fall
Spielerfrau,Spieler
Abschnitt,ab,Schnitt
Vorschrift,vor,Schrift
Sitzgruppe,sitzen,Gruppe
Mithilfe,mit,Hilfe
Gardeprinz,Garde,Prinz
Nationalelf,national,elf
Polizeistreife,Polizist,Streife
Chorklasse,Chor,Klasse
Grundgesetz,Grund,Gesetz
Selbsthilfeforum,Selbsthilfe,Forum
anhören,an,Hören
Beispielsweise,Beispiel,Weise
Anbau,an,Bau
Ansagen,an,Sagen
